Date,Product Name,Category,City,Country,Emissions Raw Materials per unit (kgCO₂e),Emissions Manufacturing per unit (kgCO₂e),Emissions Transport per unit (kgCO₂e),Total Emissions per unit (kgCO₂e),Quantity,Total Emissions (kgCO₂e)
2021-12-04,Running Shoes,Shoes,Cologne,Germany,3.52,5.76,3.85,13.13,17,223.21
2020-08-10,Polo Shirt,T-shirt,Bordeaux,France,4.23,3.49,2.08,9.8,14,137.2
2023-05-25,Basic T-shirt,T-shirt,Cologne,Germany,1.0,5.31,3.1,9.41,15,141.15
2020-02-06,Bomber Jacket,Jacket,Hamburg,Germany,3.19,4.96,2.68,10.83,3,32.49
2024-01-12,Raincoat,Jacket,Paris,France,4.03,3.27,1.84,9.14,46,420.44
2022-11-02,Chino Pants,Jeans,Cologne,Germany,4.25,5.22,1.57,11.04,15,165.6
2023-07-15,Raincoat,Jacket,Osaka,Japan,3.66,2.63,2.26,8.55,15,128.25
2022-12-08,Cargo Pants,Jeans,Milan,Italy,3.98,2.12,3.55,9.65,44,424.6
2023-03-25,Canvas Sneakers,Shoes,Berlin,Germany,2.79,6.97,3.34,13.1,4,52.4
2024-02-19,Bomber Jacket,Jacket,Nice,France,1.62,2.57,1.38,5.57,14,77.98
2024-11-28,Baseball Cap,Accessories,Rome,Italy,4.29,3.64,2.67,10.6,5,53.0
2024-10-24,Baseball Cap,Accessories,Naples,Italy,3.23,6.7,0.53,10.46,20,209.2
2024-03-03,Canvas Sneakers,Shoes,Paris,France,3.83,4.41,2.74,10.98,37,406.26
2021-05-31,Basic T-shirt,T-shirt,Venice,Italy,2.63,3.71,3.65,9.99,36,359.64
2024-12-04,Ankle Boots,Shoes,Rome,Italy,2.76,3.25,2.35,8.36,14,117.04
2023-03-13,Light Jacket,Jacket,Frankfurt,Germany,3.87,3.59,3.92,11.38,50,569.0
2023-12-12,Polo Shirt,T-shirt,Fukuoka,Japan,1.92,5.68,1.82,9.42,3,28.26
2022-02-13,Oversized Hoodie,T-shirt,Lyon,France,2.03,2.01,2.22,6.26,7,43.82
2021-02-25,Canvas Sneakers,Shoes,Nagoya,Japan,3.03,4.14,2.19,9.36,38,355.68
2021-02-01,Relaxed Fit Jeans,Jeans,Tokyo,Japan,3.07,6.16,0.85,10.08,43,433.44
2022-03-09,Polo Shirt,T-shirt,Nice,France,1.43,4.03,0.9,6.36,32,203.52
2020-02-05,Leather Belt,Accessories,Berlin,Germany,2.76,4.59,3.83,11.18,26,290.68
2021-07-30,Light Jacket,Jacket,Milan,Italy,1.87,3.08,1.78,6.73,13,87.49
2024-10-22,Ankle Boots,Shoes,Berlin,Germany,3.81,3.74,1.38,8.93,9,80.37
2021-11-25,Running Shoes,Shoes,Cologne,Germany,4.02,2.16,1.4,7.58,18,136.44
2023-10-13,Cargo Pants,Jeans,Florence,Italy,2.93,5.9,2.38,11.21,36,403.56
2021-12-05,Beanie,Accessories,Kyoto,Japan,2.37,6.55,3.43,12.35,50,617.5
2022-12-26,Slim Fit Jeans,Jeans,Marseille,France,1.7,3.0,2.75,7.45,47,350.15
2020-03-23,Bomber Jacket,Jacket,Naples,Italy,1.92,4.13,1.79,7.84,11,86.24
2020-12-07,Running Shoes,Shoes,Kyoto,Japan,4.94,5.76,3.18,13.88,18,249.84
2024-04-03,Leather Belt,Accessories,Berlin,Germany,1.42,2.02,1.87,5.31,33,175.23
2024-09-18,Oversized Hoodie,T-shirt,Bordeaux,France,3.29,5.42,1.94,10.65,22,234.3
2021-11-27,Baseball Cap,Accessories,Florence,Italy,5.0,5.95,1.4,12.35,16,197.6
2024-11-11,Beanie,Accessories,Fukuoka,Japan,2.61,5.07,3.21,10.89,9,98.01
2023-04-02,Relaxed Fit Jeans,Jeans,Kyoto,Japan,3.45,6.65,3.73,13.83,21,290.43
2020-03-21,Slim Fit Jeans,Jeans,Cologne,Germany,2.75,5.06,3.58,11.39,25,284.75
2024-11-08,Bomber Jacket,Jacket,Venice,Italy,4.09,5.59,0.87,10.55,22,232.1
2020-08-22,Ankle Boots,Shoes,Fukuoka,Japan,3.12,2.27,2.68,8.07,25,201.75
2020-06-05,Chino Pants,Jeans,Nagoya,Japan,1.9,6.41,2.04,10.35,15,155.25
2023-03-05,Wool Scarf,Accessories,Naples,Italy,2.18,3.99,0.52,6.69,24,160.56
2024-12-29,Ankle Boots,Shoes,Nice,France,2.59,5.65,1.23,9.47,35,331.45
2020-08-22,Wool Scarf,Accessories,Frankfurt,Germany,4.65,5.35,1.88,11.88,7,83.16
2024-05-30,Baseball Cap,Accessories,Rome,Italy,1.4,6.59,2.76,10.75,1,10.75
2023-06-10,Slim Fit Jeans,Jeans,Milan,Italy,1.66,5.57,2.22,9.45,27,255.15
2020-08-23,Running Shoes,Shoes,Rome,Italy,3.62,6.84,3.23,13.69,16,219.04
2024-05-27,Canvas Sneakers,Shoes,Nagoya,Japan,4.44,3.47,0.99,8.9,11,97.9
2020-08-24,Light Jacket,Jacket,Frankfurt,Germany,4.29,4.57,2.17,11.03,44,485.32
2021-05-09,Relaxed Fit Jeans,Jeans,Paris,France,2.75,4.61,1.24,8.6,28,240.8
2022-02-13,Baseball Cap,Accessories,Kyoto,Japan,1.16,4.51,3.51,9.18,36,330.48
2021-06-02,Denim Jacket,Jacket,Tokyo,Japan,2.18,3.5,1.06,6.74,7,47.18
2021-03-01,Graphic T-shirt,T-shirt,Berlin,Germany,2.05,6.48,3.91,12.44,2,24.88
2020-01-22,Leather Belt,Accessories,Nice,France,2.04,6.41,2.05,10.5,21,220.5
2022-07-10,Denim Jacket,Jacket,Hamburg,Germany,3.63,6.44,3.02,13.09,26,340.34
2020-05-08,Denim Jacket,Jacket,Naples,Italy,4.58,3.92,0.82,9.32,39,363.48
2022-07-22,Wool Scarf,Accessories,Florence,Italy,1.82,6.65,0.68,9.15,14,128.1
2024-05-26,Chino Pants,Jeans,Fukuoka,Japan,3.98,2.2,3.28,9.46,45,425.7
2022-08-18,Wool Scarf,Accessories,Munich,Germany,4.82,5.13,1.63,11.58,12,138.96
2023-01-14,Baseball Cap,Accessories,Lyon,France,4.69,3.72,2.69,11.1,13,144.3
2021-05-19,Slim Fit Jeans,Jeans,Munich,Germany,3.08,6.69,1.34,11.11,18,199.98
2020-07-02,Slim Fit Jeans,Jeans,Frankfurt,Germany,1.33,3.67,2.78,7.78,42,326.76
2023-03-22,Leather Boots,Shoes,Berlin,Germany,1.1,6.46,3.58,11.14,25,278.5
2021-09-20,Denim Jacket,Jacket,Rome,Italy,2.12,5.35,3.4,10.87,12,130.44
2021-10-10,Baseball Cap,Accessories,Nagoya,Japan,4.41,4.14,2.7,11.25,16,180.0
2021-11-15,Chino Pants,Jeans,Florence,Italy,1.18,4.49,3.55,9.22,40,368.8
2023-03-31,Slim Fit Jeans,Jeans,Fukuoka,Japan,3.17,6.54,0.89,10.6,16,169.6
2021-03-26,Leather Boots,Shoes,Milan,Italy,2.15,6.94,0.67,9.76,26,253.76
2020-05-28,Chino Pants,Jeans,Bordeaux,France,1.92,4.1,2.52,8.54,5,42.7
2024-02-02,Basic T-shirt,T-shirt,Naples,Italy,3.4,4.9,2.86,11.16,41,457.56
2020-01-21,Oversized Hoodie,T-shirt,Nice,France,2.35,5.17,3.53,11.05,32,353.6
2022-08-18,Relaxed Fit Jeans,Jeans,Venice,Italy,1.72,6.72,2.31,10.75,33,354.75
2024-05-11,Slim Fit Jeans,Jeans,Berlin,Germany,4.34,6.75,3.53,14.62,33,482.46
2023-09-24,Light Jacket,Jacket,Paris,France,4.21,4.1,1.88,10.19,50,509.5
2020-11-02,Denim Jacket,Jacket,Venice,Italy,2.02,2.01,0.61,4.64,20,92.8
2020-08-06,Leather Belt,Accessories,Osaka,Japan,4.12,2.9,1.38,8.4,19,159.6
2020-09-15,Bomber Jacket,Jacket,Lyon,France,2.8,4.17,0.85,7.82,35,273.7
2024-01-19,Denim Jacket,Jacket,Rome,Italy,4.16,4.39,3.36,11.91,40,476.4
2024-07-04,Running Shoes,Shoes,Kyoto,Japan,3.2,2.63,2.86,8.69,12,104.28
2021-09-04,Chino Pants,Jeans,Cologne,Germany,3.2,4.84,1.54,9.58,11,105.38
2020-04-09,Wool Scarf,Accessories,Marseille,France,3.91,3.7,1.4,9.01,50,450.5
2020-05-11,Canvas Sneakers,Shoes,Frankfurt,Germany,3.39,3.0,1.11,7.5,36,270.0
2021-05-27,Raincoat,Jacket,Kyoto,Japan,3.81,4.89,1.82,10.52,35,368.2
2022-07-17,Cargo Pants,Jeans,Milan,Italy,3.27,2.12,3.73,9.12,22,200.64
2020-12-17,Beanie,Accessories,Bordeaux,France,3.73,5.36,2.35,11.44,2,22.88
2024-06-12,Ankle Boots,Shoes,Cologne,Germany,4.06,5.99,3.2,13.25,2,26.5
2020-05-07,Ankle Boots,Shoes,Munich,Germany,1.7,5.7,3.23,10.63,9,95.67
2023-04-30,Bomber Jacket,Jacket,Venice,Italy,3.61,2.95,1.28,7.84,17,133.28
2024-08-24,Cargo Pants,Jeans,Bordeaux,France,3.45,4.7,1.67,9.82,37,363.34
2022-04-01,Leather Belt,Accessories,Paris,France,3.66,3.25,2.27,9.18,6,55.08
2021-04-23,Basic T-shirt,T-shirt,Tokyo,Japan,2.02,3.94,2.85,8.81,12,105.72
2022-12-18,Polo Shirt,T-shirt,Berlin,Germany,3.48,6.47,2.99,12.94,42,543.48
2022-06-16,Leather Boots,Shoes,Marseille,France,3.85,3.33,2.52,9.7,21,203.7
2022-10-10,Leather Boots,Shoes,Tokyo,Japan,2.1,5.2,3.2,10.5,46,483.0
2022-04-24,Chino Pants,Jeans,Berlin,Germany,1.76,5.31,0.87,7.94,40,317.6
2024-01-31,Leather Boots,Shoes,Bordeaux,France,2.1,5.69,1.27,9.06,4,36.24
2020-05-26,Oversized Hoodie,T-shirt,Osaka,Japan,3.61,2.16,1.27,7.04,11,77.44
2022-11-13,Baseball Cap,Accessories,Lyon,France,2.05,3.06,1.41,6.52,20,130.4
2023-11-19,Chino Pants,Jeans,Nice,France,1.17,2.17,1.04,4.38,24,105.12
2020-12-04,Leather Belt,Accessories,Frankfurt,Germany,2.99,4.18,3.83,11.0,6,66.0
2024-10-19,Leather Belt,Accessories,Florence,Italy,2.47,5.89,1.75,10.11,33,333.63
2023-03-15,Light Jacket,Jacket,Hamburg,Germany,1.79,6.57,3.3,11.66,10,116.6
2021-05-28,Running Shoes,Shoes,Cologne,Germany,2.06,5.09,3.25,10.4,37,384.8
2024-01-13,Beanie,Accessories,Rome,Italy,2.43,3.95,0.75,7.13,44,313.72
2022-03-17,Cargo Pants,Jeans,Munich,Germany,1.3,4.47,2.09,7.86,33,259.38
2024-09-27,Chino Pants,Jeans,Paris,France,2.23,3.34,3.45,9.02,47,423.94
2020-03-24,Slim Fit Jeans,Jeans,Osaka,Japan,4.32,5.39,2.23,11.94,17,202.98
2023-07-11,Wool Scarf,Accessories,Florence,Italy,2.73,6.36,2.01,11.1,48,532.8
2020-06-20,Leather Belt,Accessories,Venice,Italy,4.02,6.66,3.02,13.7,43,589.1
2023-11-07,Raincoat,Jacket,Naples,Italy,4.04,5.71,3.52,13.27,16,212.32
2024-10-08,Canvas Sneakers,Shoes,Hamburg,Germany,2.16,2.48,3.85,8.49,26,220.74
2020-12-03,Raincoat,Jacket,Berlin,Germany,1.64,3.69,1.78,7.11,9,63.99
2023-06-28,Running Shoes,Shoes,Tokyo,Japan,2.72,3.91,3.44,10.07,8,80.56
2022-06-02,Chino Pants,Jeans,Fukuoka,Japan,2.51,4.17,1.2,7.88,27,212.76
2020-08-29,Wool Scarf,Accessories,Nice,France,4.99,6.3,2.17,13.46,16,215.36
2022-02-14,Basic T-shirt,T-shirt,Kyoto,Japan,1.69,2.67,2.67,7.03,13,91.39
2022-12-18,Ankle Boots,Shoes,Frankfurt,Germany,3.77,3.62,2.04,9.43,2,18.86
2020-03-04,Leather Boots,Shoes,Fukuoka,Japan,4.08,2.83,2.71,9.62,17,163.54
2021-02-27,Baseball Cap,Accessories,Paris,France,2.94,6.8,0.63,10.37,10,103.7
2023-01-15,Wool Scarf,Accessories,Lyon,France,1.79,3.25,0.96,6.0,20,120.0
2023-04-14,Raincoat,Jacket,Bordeaux,France,2.09,6.72,0.55,9.36,11,102.96
2023-01-21,Beanie,Accessories,Munich,Germany,2.49,6.16,1.25,9.9,27,267.3
2024-10-18,Running Shoes,Shoes,Florence,Italy,4.73,5.28,1.02,11.03,37,408.11
2024-12-05,Running Shoes,Shoes,Hamburg,Germany,1.27,2.78,1.96,6.01,19,114.19
2024-07-18,Basic T-shirt,T-shirt,Florence,Italy,4.06,2.65,3.65,10.36,8,82.88
2023-03-11,Chino Pants,Jeans,Milan,Italy,4.69,2.8,1.96,9.45,19,179.55
2023-10-12,Slim Fit Jeans,Jeans,Venice,Italy,4.13,4.71,2.22,11.06,33,364.98
2022-02-04,Baseball Cap,Accessories,Nagoya,Japan,3.41,6.02,1.35,10.78,28,301.84
2022-10-27,Polo Shirt,T-shirt,Munich,Germany,1.29,2.76,3.65,7.7,21,161.7
2020-01-02,Raincoat,Jacket,Florence,Italy,3.44,5.51,1.02,9.97,46,458.62
2022-07-09,Baseball Cap,Accessories,Munich,Germany,2.04,2.33,3.19,7.56,35,264.6
2022-03-28,Ankle Boots,Shoes,Berlin,Germany,4.42,6.59,3.96,14.97,32,479.04
2020-08-19,Cargo Pants,Jeans,Hamburg,Germany,2.42,3.39,2.8,8.61,14,120.54
2023-02-14,Wool Scarf,Accessories,Milan,Italy,2.88,5.92,3.71,12.51,41,512.91
2023-05-10,Running Shoes,Shoes,Osaka,Japan,3.84,3.1,0.94,7.88,30,236.4
2023-05-15,Canvas Sneakers,Shoes,Osaka,Japan,3.36,5.98,2.02,11.36,48,545.28
2023-12-29,Light Jacket,Jacket,Nice,France,2.71,3.12,2.86,8.69,29,252.01
2023-06-23,Running Shoes,Shoes,Osaka,Japan,4.8,3.66,2.49,10.95,24,262.8
2022-12-13,Cargo Pants,Jeans,Milan,Italy,1.73,5.83,0.67,8.23,38,312.74
2022-05-22,Denim Jacket,Jacket,Hamburg,Germany,2.47,5.1,1.07,8.64,40,345.6
2023-04-11,Beanie,Accessories,Naples,Italy,3.88,4.86,1.73,10.47,48,502.56
2021-05-22,Basic T-shirt,T-shirt,Nice,France,2.83,4.73,2.38,9.94,27,268.38
2024-01-17,Cargo Pants,Jeans,Venice,Italy,3.39,2.63,1.27,7.29,18,131.22
2024-09-29,Slim Fit Jeans,Jeans,Paris,France,1.42,5.32,2.8,9.54,50,477.0
2023-05-24,Oversized Hoodie,T-shirt,Milan,Italy,4.39,4.56,2.85,11.8,17,200.6
2024-06-22,Chino Pants,Jeans,Cologne,Germany,2.2,5.58,1.81,9.59,20,191.8
2020-11-07,Wool Scarf,Accessories,Frankfurt,Germany,3.54,2.27,3.11,8.92,32,285.44
2020-12-13,Polo Shirt,T-shirt,Frankfurt,Germany,3.49,4.14,4.0,11.63,3,34.89
2021-07-08,Relaxed Fit Jeans,Jeans,Osaka,Japan,2.83,4.1,2.77,9.7,48,465.6
2023-04-24,Slim Fit Jeans,Jeans,Cologne,Germany,1.67,2.25,1.84,5.76,23,132.48
2020-05-17,Basic T-shirt,T-shirt,Frankfurt,Germany,1.65,6.17,2.3,10.12,11,111.32
2022-11-04,Slim Fit Jeans,Jeans,Paris,France,4.71,3.84,3.5,12.05,26,313.3
2023-07-26,Leather Belt,Accessories,Bordeaux,France,1.12,5.23,2.83,9.18,20,183.6
2021-03-03,Running Shoes,Shoes,Osaka,Japan,2.56,3.19,3.99,9.74,16,155.84
2024-12-19,Wool Scarf,Accessories,Berlin,Germany,3.24,2.22,3.45,8.91,5,44.55
2020-06-02,Oversized Hoodie,T-shirt,Osaka,Japan,4.53,5.24,1.6,11.37,30,341.1
2022-11-13,Graphic T-shirt,T-shirt,Kyoto,Japan,4.9,6.56,2.04,13.5,11,148.5
2021-08-31,Wool Scarf,Accessories,Kyoto,Japan,3.81,4.26,1.0,9.07,23,208.61
2023-06-02,Cargo Pants,Jeans,Marseille,France,4.97,3.91,0.83,9.71,36,349.56
2022-03-29,Beanie,Accessories,Paris,France,1.49,5.48,1.84,8.81,17,149.77
2024-11-10,Denim Jacket,Jacket,Fukuoka,Japan,2.94,3.05,2.35,8.34,46,383.64
2021-03-31,Leather Belt,Accessories,Bordeaux,France,1.88,4.41,1.19,7.48,46,344.08
2021-05-15,Leather Belt,Accessories,Milan,Italy,1.95,4.65,2.84,9.44,26,245.44
2021-10-10,Leather Boots,Shoes,Cologne,Germany,3.57,3.49,2.17,9.23,18,166.14
2021-01-23,Light Jacket,Jacket,Naples,Italy,4.36,5.86,2.51,12.73,38,483.74
2022-06-27,Bomber Jacket,Jacket,Nagoya,Japan,3.02,5.8,3.67,12.49,39,487.11
2021-06-20,Polo Shirt,T-shirt,Frankfurt,Germany,2.13,6.85,2.49,11.47,11,126.17
2020-10-10,Raincoat,Jacket,Venice,Italy,1.04,2.18,1.6,4.82,24,115.68
2021-09-26,Leather Boots,Shoes,Hamburg,Germany,4.18,5.25,2.1,11.53,8,92.24
2024-01-10,Baseball Cap,Accessories,Lyon,France,1.32,5.61,3.36,10.29,5,51.45
2020-08-05,Cargo Pants,Jeans,Marseille,France,1.17,6.69,3.68,11.54,21,242.34
2022-10-05,Light Jacket,Jacket,Florence,Italy,2.28,5.34,3.11,10.73,3,32.19
2020-04-23,Basic T-shirt,T-shirt,Fukuoka,Japan,2.81,5.74,3.63,12.18,49,596.82
2021-03-19,Beanie,Accessories,Rome,Italy,2.85,6.02,3.5,12.37,46,569.02
2022-12-18,Raincoat,Jacket,Fukuoka,Japan,2.46,3.43,2.55,8.44,22,185.68
2023-09-19,Relaxed Fit Jeans,Jeans,Bordeaux,France,2.5,6.8,0.53,9.83,40,393.2
2023-11-19,Relaxed Fit Jeans,Jeans,Paris,France,2.78,6.21,1.92,10.91,15,163.65
2022-03-29,Beanie,Accessories,Marseille,France,3.8,3.5,3.88,11.18,29,324.22
2022-02-12,Leather Boots,Shoes,Paris,France,3.61,5.72,3.69,13.02,16,208.32
2024-08-06,Raincoat,Jacket,Nice,France,1.85,2.2,3.86,7.91,36,284.76
2023-04-02,Running Shoes,Shoes,Hamburg,Germany,3.83,5.01,1.63,10.47,29,303.63
2024-01-04,Denim Jacket,Jacket,Bordeaux,France,3.85,3.33,2.58,9.76,32,312.32
2023-04-30,Running Shoes,Shoes,Florence,Italy,4.61,3.36,0.73,8.7,6,52.2
2020-04-04,Basic T-shirt,T-shirt,Milan,Italy,3.56,6.41,3.53,13.5,31,418.5
2021-10-16,Ankle Boots,Shoes,Hamburg,Germany,1.52,5.76,1.72,9.0,19,171.0
2021-02-05,Light Jacket,Jacket,Hamburg,Germany,4.23,6.26,0.64,11.13,49,545.37
2023-08-16,Basic T-shirt,T-shirt,Venice,Italy,1.44,5.46,3.13,10.03,1,10.03
2022-03-04,Chino Pants,Jeans,Venice,Italy,1.92,4.92,2.48,9.32,4,37.28
2023-03-02,Wool Scarf,Accessories,Hamburg,Germany,1.04,6.03,3.92,10.99,9,98.91
2020-06-11,Baseball Cap,Accessories,Frankfurt,Germany,2.9,5.82,3.79,12.51,1,12.51
2020-03-13,Graphic T-shirt,T-shirt,Kyoto,Japan,5.0,6.89,3.59,15.48,34,526.32
2024-09-17,Graphic T-shirt,T-shirt,Venice,Italy,1.31,4.99,3.75,10.05,18,180.9
2024-05-18,Canvas Sneakers,Shoes,Florence,Italy,1.99,5.22,2.43,9.64,6,57.84
2021-01-24,Beanie,Accessories,Milan,Italy,4.97,4.01,2.64,11.62,41,476.42
2020-09-23,Running Shoes,Shoes,Bordeaux,France,3.93,3.65,0.95,8.53,43,366.79
2022-07-05,Denim Jacket,Jacket,Hamburg,Germany,3.43,5.44,0.91,9.78,41,400.98
2021-07-02,Leather Boots,Shoes,Bordeaux,France,4.1,4.98,4.0,13.08,16,209.28
2020-05-03,Ankle Boots,Shoes,Nagoya,Japan,2.41,6.49,2.95,11.85,12,142.2
2021-12-17,Leather Belt,Accessories,Cologne,Germany,1.03,5.99,3.8,10.82,45,486.9
2023-02-21,Graphic T-shirt,T-shirt,Osaka,Japan,2.73,3.99,2.9,9.62,23,221.26
2023-01-25,Chino Pants,Jeans,Cologne,Germany,2.57,5.78,3.24,11.59,13,150.67
2023-12-28,Canvas Sneakers,Shoes,Kyoto,Japan,2.4,6.42,1.15,9.97,43,428.71
2020-05-23,Leather Belt,Accessories,Bordeaux,France,2.08,3.56,2.93,8.57,47,402.79
2024-03-20,Wool Scarf,Accessories,Naples,Italy,1.21,2.3,0.53,4.04,12,48.48
2020-07-16,Graphic T-shirt,T-shirt,Venice,Italy,3.38,4.32,3.92,11.62,14,162.68
2024-10-16,Graphic T-shirt,T-shirt,Cologne,Germany,3.55,2.66,1.87,8.08,4,32.32
2023-07-28,Polo Shirt,T-shirt,Naples,Italy,4.99,5.08,1.86,11.93,31,369.83
2022-10-23,Relaxed Fit Jeans,Jeans,Munich,Germany,3.37,6.22,1.47,11.06,21,232.26
2020-03-23,Chino Pants,Jeans,Venice,Italy,3.89,2.81,3.6,10.3,3,30.9
2022-06-26,Cargo Pants,Jeans,Venice,Italy,4.67,6.95,0.8,12.42,49,608.58
2023-12-20,Basic T-shirt,T-shirt,Frankfurt,Germany,4.73,6.48,1.31,12.52,48,600.96
2022-12-10,Slim Fit Jeans,Jeans,Bordeaux,France,2.31,4.8,2.07,9.18,17,156.06
2024-06-27,Slim Fit Jeans,Jeans,Berlin,Germany,4.1,2.41,2.5,9.01,20,180.2
2020-03-11,Graphic T-shirt,T-shirt,Hamburg,Germany,4.77,2.83,2.66,10.26,47,482.22
2021-06-18,Bomber Jacket,Jacket,Berlin,Germany,2.42,2.92,3.56,8.9,17,151.3
2024-06-15,Relaxed Fit Jeans,Jeans,Hamburg,Germany,2.97,2.4,2.1,7.47,44,328.68
2021-09-14,Canvas Sneakers,Shoes,Florence,Italy,1.87,2.34,2.72,6.93,16,110.88
2022-10-26,Running Shoes,Shoes,Kyoto,Japan,2.31,6.2,2.54,11.05,22,243.1
2021-11-24,Cargo Pants,Jeans,Osaka,Japan,2.72,5.1,2.78,10.6,38,402.8
2022-09-12,Bomber Jacket,Jacket,Florence,Italy,1.76,4.06,2.34,8.16,42,342.72
2024-07-26,Polo Shirt,T-shirt,Frankfurt,Germany,2.99,5.47,2.07,10.53,36,379.08
