Product Name,Category,Material,Year,Month,Day,Total Emissions (kgCO₂e)
Zip Hoodie,Sweatshirt,Cotton,2021,2,12,319.5
Knitted Sweater,Sweater,Wool,2021,4,20,396.0
Slip-On Sneakers,Shoes,Canvas,2021,12,5,262.2
Running Shoes,Shoes,Synthetic,2022,7,29,807.5
Shorts,Shorts,Denim,2023,1,27,329.0
Knitted Sweater,Sweater,Wool,2020,1,12,570.0
Cargo Pants,Pants,Cotton,2022,11,15,341.7
Zip Hoodie,Sweatshirt,Cotton,2024,5,11,121.5
Slim Fit Jeans,Jeans,Denim,2022,5,22,403.0
Winter Coat,Jacket,Wool,2024,11,16,744.6
Printed T-shirt,T-shirt,Organic Cotton,2023,2,9,123.5
Formal Shirt,Shirt,Cotton,2022,4,26,179.4
Winter Coat,Jacket,Wool,2022,4,28,10.2
Zip Hoodie,Sweatshirt,Cotton,2023,1,7,360.0
Shorts,Shorts,Denim,2024,5,29,150.5
Shorts,Shorts,Denim,2022,7,27,14.0
Chino Pants,Pants,Cotton,2024,7,5,385.4
Zip Hoodie,Sweatshirt,Cotton,2020,12,28,337.5
Oversized Hoodie,Sweatshirt,Cotton,2021,1,5,298.2
Running Shoes,Shoes,Synthetic,2024,6,20,47.5
Oversized Hoodie,Sweatshirt,Cotton,2024,9,19,46.2
Basic T-shirt,T-shirt,Cotton,2024,11,12,121.8
Running Shoes,Shoes,Synthetic,2020,1,30,304.0
Light Jacket,Jacket,Polyester,2021,7,4,712.0
Winter Coat,Jacket,Wool,2021,1,13,387.6
Denim Jacket,Jacket,Denim,2020,5,22,163.8
Tracksuit Pants,Pants,Polyester,2021,6,6,138.6
Running Shoes,Shoes,Synthetic,2023,9,6,788.5
Leather Boots,Shoes,Leather,2023,12,28,649.0
Summer Dress,Dress,Linen,2023,12,9,211.2
Light Jacket,Jacket,Polyester,2022,8,28,35.6
Knitted Sweater,Sweater,Wool,2021,9,30,264.0
Printed T-shirt,T-shirt,Organic Cotton,2022,5,12,64.6
Running Shoes,Shoes,Synthetic,2020,8,10,893.0
Printed T-shirt,T-shirt,Organic Cotton,2022,11,10,148.2
Basic T-shirt,T-shirt,Cotton,2022,6,3,60.9
Knitted Sweater,Sweater,Wool,2020,2,6,114.0
Denim Jacket,Jacket,Denim,2020,3,13,452.4
Tracksuit Pants,Pants,Polyester,2023,12,14,548.1
Zip Hoodie,Sweatshirt,Cotton,2022,5,23,130.5
Tracksuit Pants,Pants,Polyester,2023,7,15,365.4
Tracksuit Pants,Pants,Polyester,2021,4,2,529.2
Knitted Sweater,Sweater,Wool,2020,3,3,522.0
Summer Dress,Dress,Linen,2023,3,25,280.5
Raincoat,Jacket,Polyester,2023,7,16,59.2
Leather Boots,Shoes,Leather,2024,2,19,187.0
Slim Fit Jeans,Jeans,Denim,2021,3,10,260.0
Oversized Hoodie,Sweatshirt,Cotton,2020,5,24,168.0
Denim Jacket,Jacket,Denim,2021,9,2,421.2
Running Shoes,Shoes,Synthetic,2023,3,2,161.5
Zip Hoodie,Sweatshirt,Cotton,2020,1,18,22.5
Printed T-shirt,T-shirt,Organic Cotton,2023,4,24,138.7
Denim Jacket,Jacket,Denim,2022,8,1,780.0
Shorts,Shorts,Denim,2023,12,12,231.0
Knitted Sweater,Sweater,Wool,2020,3,17,156.0
Light Jacket,Jacket,Polyester,2021,12,11,240.3
Raincoat,Jacket,Polyester,2023,3,20,562.4
Formal Shirt,Shirt,Cotton,2021,2,1,54.6
Knitted Sweater,Sweater,Wool,2023,9,25,228.0
Formal Shirt,Shirt,Cotton,2022,10,29,11.7
Shorts,Shorts,Denim,2021,10,28,182.0
Basic T-shirt,T-shirt,Cotton,2021,7,30,44.1
Summer Dress,Dress,Linen,2021,2,15,240.9
Cargo Pants,Pants,Cotton,2024,5,21,224.4
Printed T-shirt,T-shirt,Organic Cotton,2022,5,29,66.5
Light Jacket,Jacket,Polyester,2023,10,13,436.1
Winter Coat,Jacket,Wool,2023,1,26,897.6
Formal Shirt,Shirt,Cotton,2022,12,30,386.1
Chino Pants,Pants,Cotton,2022,12,26,42.3
Slim Fit Jeans,Jeans,Denim,2024,1,25,71.5
Denim Jacket,Jacket,Denim,2020,9,29,171.6
Printed T-shirt,T-shirt,Organic Cotton,2023,1,7,66.5
Summer Dress,Dress,Linen,2024,4,3,254.1
Running Shoes,Shoes,Synthetic,2022,11,2,456.0
Summer Dress,Dress,Linen,2021,11,24,49.5
Chino Pants,Pants,Cotton,2021,8,19,366.6
Formal Shirt,Shirt,Cotton,2024,5,15,70.2
Zip Hoodie,Sweatshirt,Cotton,2023,4,2,445.5
Summer Dress,Dress,Linen,2020,8,1,19.8
Oversized Hoodie,Sweatshirt,Cotton,2022,4,12,205.8
Cargo Pants,Pants,Cotton,2024,11,8,86.7
Light Jacket,Jacket,Polyester,2021,11,29,703.1
Knitted Sweater,Sweater,Wool,2023,4,18,60.0
Zip Hoodie,Sweatshirt,Cotton,2023,3,14,130.5
Oversized Hoodie,Sweatshirt,Cotton,2023,3,5,147.0
Leather Boots,Shoes,Leather,2022,1,17,803.0
Light Jacket,Jacket,Polyester,2022,12,30,525.1
Light Jacket,Jacket,Polyester,2021,7,21,53.4
Leather Boots,Shoes,Leather,2024,8,22,22.0
Basic T-shirt,T-shirt,Cotton,2023,6,10,25.2
Light Jacket,Jacket,Polyester,2022,4,26,53.4
Chino Pants,Pants,Cotton,2021,1,19,357.2
Denim Jacket,Jacket,Denim,2022,5,12,117.0
Denim Jacket,Jacket,Denim,2022,7,12,686.4
Denim Jacket,Jacket,Denim,2021,5,9,748.8
Light Jacket,Jacket,Polyester,2024,9,26,498.4
Zip Hoodie,Sweatshirt,Cotton,2022,2,13,171.0
Running Shoes,Shoes,Synthetic,2023,1,31,874.0
Summer Dress,Dress,Linen,2022,9,3,42.9
Summer Dress,Dress,Linen,2021,3,1,19.8
Basic T-shirt,T-shirt,Cotton,2020,2,25,79.8
Shorts,Shorts,Denim,2024,1,27,143.5
Knitted Sweater,Sweater,Wool,2022,7,10,246.0
Oversized Hoodie,Sweatshirt,Cotton,2022,3,27,37.8
Shorts,Shorts,Denim,2021,10,11,206.5
Running Shoes,Shoes,Synthetic,2020,8,16,266.0
Shorts,Shorts,Denim,2024,5,26,350.0
Zip Hoodie,Sweatshirt,Cotton,2024,12,30,400.5
Winter Coat,Jacket,Wool,2022,8,18,346.8
Zip Hoodie,Sweatshirt,Cotton,2021,1,10,121.5
Printed T-shirt,T-shirt,Organic Cotton,2021,9,21,60.8
Oversized Hoodie,Sweatshirt,Cotton,2022,1,8,151.2
Tank Top,T-shirt,Cotton,2020,7,2,21.6
Slip-On Sneakers,Shoes,Canvas,2023,8,28,473.1
Chino Pants,Pants,Cotton,2021,11,25,235.0
Slim Fit Jeans,Jeans,Denim,2021,9,20,273.0
Summer Dress,Dress,Linen,2021,1,17,247.5
Chino Pants,Pants,Cotton,2021,9,12,202.1
Zip Hoodie,Sweatshirt,Cotton,2020,7,25,355.5
Shorts,Shorts,Denim,2023,3,31,42.0
Chino Pants,Pants,Cotton,2021,5,16,14.1
Chino Pants,Pants,Cotton,2024,7,13,244.4
Running Shoes,Shoes,Synthetic,2020,5,28,674.5
Oversized Hoodie,Sweatshirt,Cotton,2024,11,11,394.8
Basic T-shirt,T-shirt,Cotton,2020,6,2,172.2
Leather Boots,Shoes,Leather,2020,1,21,1067.0
Winter Coat,Jacket,Wool,2024,6,10,652.8
Cargo Pants,Pants,Cotton,2022,8,18,66.3
Summer Dress,Dress,Linen,2022,10,23,33.0
Denim Jacket,Jacket,Denim,2022,11,8,179.4
Cargo Pants,Pants,Cotton,2024,5,8,96.9
Summer Dress,Dress,Linen,2024,8,9,132.0
Tracksuit Pants,Pants,Polyester,2020,8,6,491.4
Cargo Pants,Pants,Cotton,2021,8,24,137.7
Zip Hoodie,Sweatshirt,Cotton,2020,10,17,418.5
Summer Dress,Dress,Linen,2020,3,6,264.0
Zip Hoodie,Sweatshirt,Cotton,2024,7,4,432.0
Printed T-shirt,T-shirt,Organic Cotton,2023,11,13,43.7
Raincoat,Jacket,Polyester,2021,9,4,510.6
Slim Fit Jeans,Jeans,Denim,2020,11,19,598.0
Chino Pants,Pants,Cotton,2024,10,31,155.1
Oversized Hoodie,Sweatshirt,Cotton,2024,5,11,369.6
Raincoat,Jacket,Polyester,2022,7,3,525.4
Zip Hoodie,Sweatshirt,Cotton,2021,5,27,256.5
Zip Hoodie,Sweatshirt,Cotton,2024,10,9,265.5
Knitted Sweater,Sweater,Wool,2020,1,23,264.0
Running Shoes,Shoes,Synthetic,2020,12,17,598.5
Raincoat,Jacket,Polyester,2020,2,19,547.6
Slim Fit Jeans,Jeans,Denim,2020,2,8,578.5
Slip-On Sneakers,Shoes,Canvas,2021,12,27,102.6
Cargo Pants,Pants,Cotton,2023,4,30,91.8
Running Shoes,Shoes,Synthetic,2021,6,14,484.5
Knitted Sweater,Sweater,Wool,2023,3,1,138.0
Oversized Hoodie,Sweatshirt,Cotton,2023,6,8,126.0
Basic T-shirt,T-shirt,Cotton,2022,9,22,48.3
Summer Dress,Dress,Linen,2022,12,18,214.5
Tank Top,T-shirt,Cotton,2023,8,21,158.4
Chino Pants,Pants,Cotton,2023,8,1,145.7
Formal Shirt,Shirt,Cotton,2021,10,2,343.2
Chino Pants,Pants,Cotton,2022,9,7,432.4
Summer Dress,Dress,Linen,2022,4,24,237.6
Running Shoes,Shoes,Synthetic,2023,6,5,788.5
Slim Fit Jeans,Jeans,Denim,2021,3,25,65.0
Tracksuit Pants,Pants,Polyester,2024,4,12,522.9
Winter Coat,Jacket,Wool,2024,12,1,214.2
Printed T-shirt,T-shirt,Organic Cotton,2022,11,13,76.0
Leather Boots,Shoes,Leather,2021,9,3,781.0
Denim Jacket,Jacket,Denim,2022,1,31,702.0
Tank Top,T-shirt,Cotton,2023,12,7,138.6
Light Jacket,Jacket,Polyester,2020,6,23,694.2
Slip-On Sneakers,Shoes,Canvas,2022,11,18,279.3
Cargo Pants,Pants,Cotton,2020,12,27,168.3
Printed T-shirt,T-shirt,Organic Cotton,2022,5,23,138.7
Slim Fit Jeans,Jeans,Denim,2024,1,13,416.0
Knitted Sweater,Sweater,Wool,2023,10,27,552.0
Winter Coat,Jacket,Wool,2023,7,28,510.0
Denim Jacket,Jacket,Denim,2022,11,20,546.0
Slim Fit Jeans,Jeans,Denim,2024,2,3,442.0
Running Shoes,Shoes,Synthetic,2020,7,4,769.5
Running Shoes,Shoes,Synthetic,2020,7,25,902.5
Cargo Pants,Pants,Cotton,2020,6,20,510.0
Oversized Hoodie,Sweatshirt,Cotton,2023,6,17,239.4
Chino Pants,Pants,Cotton,2024,10,8,230.3
Raincoat,Jacket,Polyester,2024,7,1,377.4
Summer Dress,Dress,Linen,2020,12,3,188.1
Shorts,Shorts,Denim,2020,9,15,220.5
Light Jacket,Jacket,Polyester,2021,3,10,498.4
Zip Hoodie,Sweatshirt,Cotton,2023,5,15,238.5
Leather Boots,Shoes,Leather,2020,8,29,396.0
Knitted Sweater,Sweater,Wool,2021,5,23,576.0
Basic T-shirt,T-shirt,Cotton,2023,2,19,52.5
Tank Top,T-shirt,Cotton,2022,12,18,135.0
Basic T-shirt,T-shirt,Cotton,2020,2,13,170.1
Chino Pants,Pants,Cotton,2023,5,25,159.8
Denim Jacket,Jacket,Denim,2021,2,27,288.6
Zip Hoodie,Sweatshirt,Cotton,2020,10,30,117.0
Leather Boots,Shoes,Leather,2021,7,13,825.0
Running Shoes,Shoes,Synthetic,2024,3,31,836.0
Denim Jacket,Jacket,Denim,2022,7,3,546.0
Formal Shirt,Shirt,Cotton,2022,1,1,210.6
Light Jacket,Jacket,Polyester,2024,10,18,881.1
Slip-On Sneakers,Shoes,Canvas,2021,3,3,285.0
Leather Boots,Shoes,Leather,2021,2,23,154.0
Basic T-shirt,T-shirt,Cotton,2024,7,11,33.6
Basic T-shirt,T-shirt,Cotton,2023,3,11,147.0
Cargo Pants,Pants,Cotton,2021,8,30,51.0
Winter Coat,Jacket,Wool,2022,10,21,754.8
Leather Boots,Shoes,Leather,2024,7,7,616.0
Winter Coat,Jacket,Wool,2022,10,27,999.6
Summer Dress,Dress,Linen,2022,12,18,3.3
Tank Top,T-shirt,Cotton,2020,9,10,165.6
Winter Coat,Jacket,Wool,2022,7,9,408.0
Knitted Sweater,Sweater,Wool,2023,1,9,264.0
Slip-On Sneakers,Shoes,Canvas,2024,5,22,364.8
Knitted Sweater,Sweater,Wool,2020,8,19,294.0
Zip Hoodie,Sweatshirt,Cotton,2021,2,21,4.5
Shorts,Shorts,Denim,2021,7,22,325.5
Tracksuit Pants,Pants,Polyester,2024,12,10,163.8
Shorts,Shorts,Denim,2022,8,3,234.5
Leather Boots,Shoes,Leather,2022,4,17,990.0
Tank Top,T-shirt,Cotton,2020,12,14,144.0
Tracksuit Pants,Pants,Polyester,2023,10,1,163.8
Tracksuit Pants,Pants,Polyester,2022,1,6,6.3
Knitted Sweater,Sweater,Wool,2023,10,21,450.0
Knitted Sweater,Sweater,Wool,2022,5,22,264.0
Shorts,Shorts,Denim,2024,10,29,262.5
Oversized Hoodie,Sweatshirt,Cotton,2024,2,11,268.8
Chino Pants,Pants,Cotton,2024,3,7,385.4
Leather Boots,Shoes,Leather,2023,8,21,891.0
Raincoat,Jacket,Polyester,2020,2,12,688.2
Cargo Pants,Pants,Cotton,2023,7,12,418.2
Knitted Sweater,Sweater,Wool,2024,5,14,210.0
Denim Jacket,Jacket,Denim,2024,9,29,772.2
Shorts,Shorts,Denim,2020,5,30,7.0
Running Shoes,Shoes,Synthetic,2021,12,16,864.5
Zip Hoodie,Sweatshirt,Cotton,2022,4,22,175.5
Tank Top,T-shirt,Cotton,2020,11,7,61.2
Denim Jacket,Jacket,Denim,2022,9,19,468.0
Slim Fit Jeans,Jeans,Denim,2022,11,11,227.5
Light Jacket,Jacket,Polyester,2022,11,11,854.4
Raincoat,Jacket,Polyester,2023,4,24,66.6
Oversized Hoodie,Sweatshirt,Cotton,2021,12,28,357.0
Basic T-shirt,T-shirt,Cotton,2022,6,25,46.2
Denim Jacket,Jacket,Denim,2022,11,4,694.2
Knitted Sweater,Sweater,Wool,2020,7,9,492.0
Running Shoes,Shoes,Synthetic,2023,11,11,741.0
Printed T-shirt,T-shirt,Organic Cotton,2021,9,15,129.2
Chino Pants,Pants,Cotton,2021,3,1,202.1
Oversized Hoodie,Sweatshirt,Cotton,2021,7,5,42.0
Tracksuit Pants,Pants,Polyester,2023,12,2,535.5
Tank Top,T-shirt,Cotton,2022,1,24,118.8
Slim Fit Jeans,Jeans,Denim,2023,2,16,143.0
Zip Hoodie,Sweatshirt,Cotton,2021,8,31,157.5
Shorts,Shorts,Denim,2021,12,29,332.5
Knitted Sweater,Sweater,Wool,2021,4,20,432.0
Denim Jacket,Jacket,Denim,2022,3,29,483.6
Running Shoes,Shoes,Synthetic,2024,6,5,750.5
Chino Pants,Pants,Cotton,2021,11,6,159.8
Chino Pants,Pants,Cotton,2023,6,3,399.5
Shorts,Shorts,Denim,2020,3,3,182.0
Raincoat,Jacket,Polyester,2021,10,10,725.2
Running Shoes,Shoes,Synthetic,2021,5,23,237.5
Denim Jacket,Jacket,Denim,2020,5,28,585.0
Slip-On Sneakers,Shoes,Canvas,2022,6,27,535.8
Shorts,Shorts,Denim,2020,10,30,119.0
Tracksuit Pants,Pants,Polyester,2022,7,29,132.3
Cargo Pants,Pants,Cotton,2020,10,10,469.2
Winter Coat,Jacket,Wool,2022,6,21,408.0
Knitted Sweater,Sweater,Wool,2024,3,18,186.0
Printed T-shirt,T-shirt,Organic Cotton,2020,8,25,174.8
Leather Boots,Shoes,Leather,2023,10,27,99.0
Chino Pants,Pants,Cotton,2020,8,5,239.7
Formal Shirt,Shirt,Cotton,2021,10,20,50.7
Slim Fit Jeans,Jeans,Denim,2021,1,17,52.0
Shorts,Shorts,Denim,2024,7,15,10.5
Printed T-shirt,T-shirt,Organic Cotton,2024,12,25,167.2
Formal Shirt,Shirt,Cotton,2020,3,12,354.9
Shorts,Shorts,Denim,2022,12,18,199.5
Running Shoes,Shoes,Synthetic,2021,12,2,152.0
Denim Jacket,Jacket,Denim,2023,6,9,101.4
Knitted Sweater,Sweater,Wool,2021,3,30,180.0
Tank Top,T-shirt,Cotton,2022,10,10,88.2
Denim Jacket,Jacket,Denim,2024,3,17,234.0
Leather Boots,Shoes,Leather,2021,4,27,660.0
Slip-On Sneakers,Shoes,Canvas,2023,1,25,285.0
Tank Top,T-shirt,Cotton,2021,3,9,165.6
Summer Dress,Dress,Linen,2021,6,12,211.2
Light Jacket,Jacket,Polyester,2023,4,30,249.2
Slim Fit Jeans,Jeans,Denim,2020,6,10,13.0
Basic T-shirt,T-shirt,Cotton,2024,6,21,130.2
Knitted Sweater,Sweater,Wool,2021,10,16,450.0
Printed T-shirt,T-shirt,Organic Cotton,2021,8,11,98.8
Cargo Pants,Pants,Cotton,2020,11,23,20.4
Knitted Sweater,Sweater,Wool,2020,2,1,114.0
Zip Hoodie,Sweatshirt,Cotton,2024,11,29,36.0
Knitted Sweater,Sweater,Wool,2023,3,2,198.0
Oversized Hoodie,Sweatshirt,Cotton,2020,9,23,252.0
Leather Boots,Shoes,Leather,2023,8,28,22.0
Zip Hoodie,Sweatshirt,Cotton,2020,3,13,36.0
Cargo Pants,Pants,Cotton,2022,12,11,30.6
Light Jacket,Jacket,Polyester,2021,7,14,498.4
Printed T-shirt,T-shirt,Organic Cotton,2020,7,5,7.6
Cargo Pants,Pants,Cotton,2022,10,20,489.6
Printed T-shirt,T-shirt,Organic Cotton,2021,7,25,161.5
Knitted Sweater,Sweater,Wool,2022,7,5,258.0
Running Shoes,Shoes,Synthetic,2023,7,16,323.0
Chino Pants,Pants,Cotton,2023,8,7,150.4
Slip-On Sneakers,Shoes,Canvas,2020,5,3,433.2
Winter Coat,Jacket,Wool,2020,12,24,561.0
Zip Hoodie,Sweatshirt,Cotton,2023,5,24,369.0
Slim Fit Jeans,Jeans,Denim,2022,12,5,299.0
Raincoat,Jacket,Polyester,2023,1,25,510.6
Zip Hoodie,Sweatshirt,Cotton,2021,2,12,247.5
Oversized Hoodie,Sweatshirt,Cotton,2023,9,18,386.4
Shorts,Shorts,Denim,2021,7,1,325.5
Oversized Hoodie,Sweatshirt,Cotton,2024,3,20,138.6
Light Jacket,Jacket,Polyester,2020,12,29,178.0
Printed T-shirt,T-shirt,Organic Cotton,2020,4,30,104.5
Slim Fit Jeans,Jeans,Denim,2024,10,11,45.5
Oversized Hoodie,Sweatshirt,Cotton,2023,7,28,277.2
Tracksuit Pants,Pants,Polyester,2022,8,18,302.4
Summer Dress,Dress,Linen,2020,7,22,19.8
Zip Hoodie,Sweatshirt,Cotton,2020,9,16,22.5
Cargo Pants,Pants,Cotton,2022,6,26,260.1
Tank Top,T-shirt,Cotton,2024,4,12,7.2
Tracksuit Pants,Pants,Polyester,2024,2,17,220.5
Running Shoes,Shoes,Synthetic,2020,7,4,399.0
Leather Boots,Shoes,Leather,2020,6,24,55.0
Knitted Sweater,Sweater,Wool,2024,10,26,48.0
Running Shoes,Shoes,Synthetic,2024,2,9,389.5
Cargo Pants,Pants,Cotton,2024,2,14,173.4
Knitted Sweater,Sweater,Wool,2024,6,15,90.0
Leather Boots,Shoes,Leather,2024,10,18,143.0
Chino Pants,Pants,Cotton,2022,5,20,305.5
Printed T-shirt,T-shirt,Organic Cotton,2023,2,15,81.7
Tracksuit Pants,Pants,Polyester,2021,11,24,321.3
Formal Shirt,Shirt,Cotton,2023,4,11,54.6
Tank Top,T-shirt,Cotton,2020,9,22,122.4
Slip-On Sneakers,Shoes,Canvas,2023,2,18,513.0
Zip Hoodie,Sweatshirt,Cotton,2022,12,1,18.0
Leather Boots,Shoes,Leather,2024,8,30,1056.0
Printed T-shirt,T-shirt,Organic Cotton,2020,11,17,91.2
Tracksuit Pants,Pants,Polyester,2022,3,8,264.6
Raincoat,Jacket,Polyester,2020,7,18,333.0
Slip-On Sneakers,Shoes,Canvas,2020,9,15,51.3
Leather Boots,Shoes,Leather,2020,3,30,924.0
Summer Dress,Dress,Linen,2022,12,28,178.2
Summer Dress,Dress,Linen,2021,9,2,151.8
Summer Dress,Dress,Linen,2021,7,12,316.8
Tracksuit Pants,Pants,Polyester,2024,3,12,409.5
Tracksuit Pants,Pants,Polyester,2020,1,18,100.8
Summer Dress,Dress,Linen,2020,10,31,310.2
Summer Dress,Dress,Linen,2021,10,28,244.2
Tank Top,T-shirt,Cotton,2020,5,20,64.8
Tank Top,T-shirt,Cotton,2022,9,9,84.6
Knitted Sweater,Sweater,Wool,2024,2,27,66.0
Slim Fit Jeans,Jeans,Denim,2023,3,31,117.0
Tracksuit Pants,Pants,Polyester,2020,4,9,396.9
Running Shoes,Shoes,Synthetic,2023,3,24,304.0
Slip-On Sneakers,Shoes,Canvas,2023,12,10,547.2
Winter Coat,Jacket,Wool,2021,11,24,846.6
Knitted Sweater,Sweater,Wool,2022,1,28,240.0
Shorts,Shorts,Denim,2022,8,9,154.0
Tracksuit Pants,Pants,Polyester,2022,12,25,138.6
Cargo Pants,Pants,Cotton,2020,2,29,168.3
Chino Pants,Pants,Cotton,2023,11,8,343.1
Light Jacket,Jacket,Polyester,2020,9,30,213.6
Raincoat,Jacket,Polyester,2024,4,18,695.6
Slim Fit Jeans,Jeans,Denim,2023,6,23,84.5
Running Shoes,Shoes,Synthetic,2023,1,22,874.0
Printed T-shirt,T-shirt,Organic Cotton,2020,8,7,64.6
Slip-On Sneakers,Shoes,Canvas,2020,5,16,387.6
Oversized Hoodie,Sweatshirt,Cotton,2023,8,5,42.0
Printed T-shirt,T-shirt,Organic Cotton,2024,6,14,157.7
Denim Jacket,Jacket,Denim,2024,9,12,514.8
Raincoat,Jacket,Polyester,2024,10,31,22.2
Winter Coat,Jacket,Wool,2023,4,24,642.6
Leather Boots,Shoes,Leather,2023,12,25,319.0
Printed T-shirt,T-shirt,Organic Cotton,2024,12,30,146.3
Chino Pants,Pants,Cotton,2022,10,7,258.5
Winter Coat,Jacket,Wool,2022,7,15,714.0
Formal Shirt,Shirt,Cotton,2021,1,21,362.7
Running Shoes,Shoes,Synthetic,2020,5,28,503.5
Basic T-shirt,T-shirt,Cotton,2021,2,16,201.6
Knitted Sweater,Sweater,Wool,2022,12,25,396.0
Formal Shirt,Shirt,Cotton,2024,11,29,39.0
Shorts,Shorts,Denim,2022,4,6,231.0
Slip-On Sneakers,Shoes,Canvas,2024,6,18,427.5
Slim Fit Jeans,Jeans,Denim,2022,5,21,299.0
Tank Top,T-shirt,Cotton,2024,10,9,1.8
Leather Boots,Shoes,Leather,2021,1,23,990.0
Basic T-shirt,T-shirt,Cotton,2023,11,16,147.0
Leather Boots,Shoes,Leather,2020,9,2,726.0
Summer Dress,Dress,Linen,2024,12,21,330.0
Slip-On Sneakers,Shoes,Canvas,2023,1,17,404.7
Tracksuit Pants,Pants,Polyester,2021,8,1,333.9
Tracksuit Pants,Pants,Polyester,2023,1,15,333.9
Slip-On Sneakers,Shoes,Canvas,2023,5,19,228.0
Leather Boots,Shoes,Leather,2022,7,15,187.0
Tank Top,T-shirt,Cotton,2022,11,2,136.8
Zip Hoodie,Sweatshirt,Cotton,2020,10,14,445.5
Running Shoes,Shoes,Synthetic,2020,11,29,779.0
Raincoat,Jacket,Polyester,2020,1,20,703.0
Slip-On Sneakers,Shoes,Canvas,2023,9,16,28.5
Raincoat,Jacket,Polyester,2022,1,24,384.8
Basic T-shirt,T-shirt,Cotton,2021,7,30,25.2
Basic T-shirt,T-shirt,Cotton,2020,7,3,105.0
Tank Top,T-shirt,Cotton,2021,7,4,63.0
Winter Coat,Jacket,Wool,2024,6,18,836.4
Formal Shirt,Shirt,Cotton,2024,3,14,386.1
Knitted Sweater,Sweater,Wool,2021,11,20,354.0
Light Jacket,Jacket,Polyester,2024,7,3,551.8
Cargo Pants,Pants,Cotton,2021,12,27,275.4
Basic T-shirt,T-shirt,Cotton,2020,10,30,48.3
Running Shoes,Shoes,Synthetic,2024,7,25,456.0
Cargo Pants,Pants,Cotton,2024,10,22,387.6
Leather Boots,Shoes,Leather,2024,5,29,583.0
Tracksuit Pants,Pants,Polyester,2021,6,12,233.1
Raincoat,Jacket,Polyester,2024,2,23,658.6
Raincoat,Jacket,Polyester,2021,7,14,318.2
Formal Shirt,Shirt,Cotton,2024,5,10,109.2
Formal Shirt,Shirt,Cotton,2024,1,5,202.8
Raincoat,Jacket,Polyester,2024,1,6,88.8
Cargo Pants,Pants,Cotton,2020,5,11,137.7
Chino Pants,Pants,Cotton,2020,11,2,441.8
Light Jacket,Jacket,Polyester,2020,2,23,293.7
Formal Shirt,Shirt,Cotton,2020,11,14,390.0
Knitted Sweater,Sweater,Wool,2020,7,21,504.0
Denim Jacket,Jacket,Denim,2024,1,21,7.8
Raincoat,Jacket,Polyester,2020,7,1,584.6
Zip Hoodie,Sweatshirt,Cotton,2020,4,14,126.0
Raincoat,Jacket,Polyester,2022,12,30,333.0
Light Jacket,Jacket,Polyester,2020,4,6,845.5
Raincoat,Jacket,Polyester,2023,2,6,636.4
Light Jacket,Jacket,Polyester,2024,2,26,302.6
Running Shoes,Shoes,Synthetic,2023,11,2,218.5
Slim Fit Jeans,Jeans,Denim,2022,9,9,182.0
Oversized Hoodie,Sweatshirt,Cotton,2023,10,18,210.0
